category,asset-filename,name
advertisers/parent-companies,procter-and-gamble.svg,Procter & Gamble
advertisers/parent-companies,nestle.svg,Nestle
advertisers/parent-companies,unilever.svg,Unilever
advertisers/parent-companies,pepsico.svg,PepsiCo
advertisers/parent-companies,coca-cola.svg,Coca-Cola
advertisers/parent-companies,mondelez-international.svg,Mondelez International
advertisers/parent-companies,mars.svg,Mars
advertisers/parent-companies,general-mills.svg,General Mills
advertisers/parent-companies,kraft-heinz.svg,Kraft Heinz
advertisers/parent-companies,kellanova.svg,Kellanova
advertisers/parent-companies,danone.svg,Danone
advertisers/parent-companies,conagra-brands.svg,Conagra Brands
advertisers/parent-companies,campbells.svg,Campbell's
advertisers/parent-companies,hershey.svg,Hershey
advertisers/parent-companies,ferrero.svg,Ferrero
advertisers/parent-companies,reckitt.svg,Reckitt
advertisers/parent-companies,haleon.svg,Haleon
advertisers/parent-companies,kenvue.svg,Kenvue
advertisers/parent-companies,colgate-palmolive.svg,Colgate-Palmolive
advertisers/parent-companies,church-and-dwight.svg,Church & Dwight
advertisers/parent-companies,kimberly-clark.svg,Kimberly-Clark
advertisers/parent-companies,clorox.svg,Clorox
advertisers/parent-companies,loreal.svg,L'Oreal
advertisers/parent-companies,estee-lauder.svg,Estee Lauder
advertisers/parent-companies,coty.svg,Coty
advertisers/parent-companies,henkel.svg,Henkel
advertisers/parent-companies,sc-johnson.svg,SC Johnson
advertisers/parent-companies,newell-brands.svg,Newell Brands
advertisers/parent-companies,samsung.svg,Samsung
advertisers/parent-companies,apple.svg,Apple
advertisers/parent-companies,google.svg,Google
advertisers/parent-companies,microsoft.svg,Microsoft
advertisers/parent-companies,hp.svg,HP
advertisers/parent-companies,dell.svg,Dell
advertisers/parent-companies,lenovo.svg,Lenovo
advertisers/parent-companies,sony.svg,Sony
advertisers/parent-companies,lg.svg,LG
advertisers/parent-companies,mattel.svg,Mattel
advertisers/parent-companies,hasbro.svg,Hasbro
advertisers/parent-companies,lego.svg,LEGO
advertisers/brands,tide.svg,Tide
advertisers/brands,olay.svg,Olay
advertisers/brands,purina.svg,Purina
advertisers/brands,oreo.svg,Oreo
advertisers/brands,gatorade.svg,Gatorade
advertisers/brands,dove.svg,Dove
advertisers/brands,degree.svg,Degree
advertisers/brands,hanes.svg,Hanes
advertisers/non-endemic,toyota.svg,Toyota
advertisers/non-endemic,ford.svg,Ford
advertisers/non-endemic,chevrolet.svg,Chevrolet
advertisers/non-endemic,hyundai.svg,Hyundai
advertisers/non-endemic,capital-one.svg,Capital One
advertisers/non-endemic,chase.svg,Chase
advertisers/non-endemic,american-express.svg,American Express
advertisers/non-endemic,visa.svg,Visa
advertisers/non-endemic,mastercard.svg,Mastercard
advertisers/non-endemic,state-farm.svg,State Farm
advertisers/non-endemic,progressive.svg,Progressive
advertisers/non-endemic,geico.svg,GEICO
advertisers/non-endemic,mcdonalds.svg,McDonald's
advertisers/non-endemic,taco-bell.svg,Taco Bell
advertisers/non-endemic,wendys.svg,Wendy's
advertisers/non-endemic,expedia.svg,Expedia
advertisers/non-endemic,booking-com.svg,Booking.com
advertisers/non-endemic,marriott.svg,Marriott
advertisers/non-endemic,hilton.svg,Hilton
advertisers/non-endemic,delta.svg,Delta
agencies/holding-companies,omnicom.svg,Omnicom
agencies/holding-companies,publicis-groupe.svg,Publicis Groupe
agencies/holding-companies,wpp.svg,WPP
agencies/holding-companies,dentsu.svg,dentsu
agencies/holding-companies,havas.svg,Havas
agencies/media-agencies,omd.svg,OMD
agencies/media-agencies,phd.svg,PHD
agencies/media-agencies,hearts-and-science.svg,Hearts & Science
agencies/media-agencies,starcom.svg,Starcom
agencies/media-agencies,zenith.svg,Zenith
agencies/media-agencies,spark-foundry.svg,Spark Foundry
agencies/media-agencies,mindshare.svg,Mindshare
agencies/media-agencies,essencemediacom.svg,EssenceMediacom
agencies/media-agencies,wavemaker.svg,Wavemaker
agencies/media-agencies,carat.svg,Carat
agencies/media-agencies,iprospect.svg,iProspect
agencies/media-agencies,dentsu-x.svg,dentsu X
agencies/commerce-specialists,harvest-group.svg,Harvest Group
agencies/commerce-specialists,flywheel.svg,Flywheel
agencies/commerce-specialists,tinuiti.svg,Tinuiti
agencies/commerce-specialists,pacvue.svg,Pacvue
agencies/commerce-specialists,commerceiq.svg,CommerceIQ
agencies/commerce-specialists,acadia.svg,Acadia
agencies/commerce-specialists,mikmak.svg,MikMak
agencies/commerce-specialists,profitero.svg,Profitero
agencies/commerce-specialists,stackline.svg,Stackline
agencies/commerce-specialists,wpromote.svg,Wpromote
agencies/commerce-specialists,momentum-commerce.svg,Momentum Commerce
